,Open,High,Low,Close,Volume,Time,Date
3701128,3630.88,3630.88,3630.88,3630.88,0.14465081,01:12:00,2019-01-18
3701130,3632.77,3633.0,3632.77,3633.0,4.64931825,01:14:00,2019-01-18
3701131,3633.0,3633.0,3633.0,3633.0,0.13041838,01:15:00,2019-01-18
3701132,3633.0,3633.21,3633.0,3633.21,6.80427484,01:16:00,2019-01-18
3701133,3634.12,3634.63,3634.12,3634.63,0.29278336,01:17:00,2019-01-18
3701135,3635.03,3635.03,3635.03,3635.03,0.02799083,01:19:00,2019-01-18
3701136,3635.03,3636.85,3635.03,3635.31,0.56006911,01:20:00,2019-01-18
3701138,3635.97,3635.97,3634.91,3635.46,3.4641364,01:22:00,2019-01-18
3701139,3634.2,3634.2,3634.2,3634.2,0.01018508,01:23:00,2019-01-18
3701140,3632.52,3632.52,3632.07,3632.07,0.78786518,01:24:00,2019-01-18
3701143,3631.02,3631.02,3629.54,3629.54,5.90716148,01:27:00,2019-01-18
3701144,3628.53,3630.22,3627.68,3630.22,0.730164,01:28:00,2019-01-18
3701145,3630.42,3630.42,3630.42,3630.42,1.14926482,01:29:00,2019-01-18
3701147,3630.62,3632.14,3630.62,3632.14,1.05000995,01:31:00,2019-01-18
3701148,3632.07,3632.86,3632.07,3632.86,4.75267495,01:32:00,2019-01-18
3701149,3632.42,3632.42,3629.93,3629.93,1.1083665,01:33:00,2019-01-18
3701150,3629.57,3629.57,3623.14,3624.36,7.55181119,01:34:00,2019-01-18
3701151,3624.67,3625.42,3624.67,3625.42,0.36427341,01:35:00,2019-01-18
3701152,3625.42,3625.42,3624.74,3624.83,3.9010000000000002,01:36:00,2019-01-18
3701153,3622.87,3622.87,3619.23,3619.41,7.77975673,01:37:00,2019-01-18
3701154,3620.01,3625.09,3620.01,3625.09,3.0405928,01:38:00,2019-01-18
3701156,3622.33,3622.33,3622.33,3622.33,2.1118335999999998,01:40:00,2019-01-18
3701157,3623.24,3623.24,3623.24,3623.24,0.17178779,01:41:00,2019-01-18
3701158,3624.14,3624.14,3624.14,3624.14,1.84465282,01:42:00,2019-01-18
3701159,3624.47,3625.38,3624.47,3625.38,0.53030498,01:43:00,2019-01-18
3701160,3625.93,3625.93,3625.93,3625.93,0.004511,01:44:00,2019-01-18
3701163,3623.13,3623.13,3623.13,3623.13,0.04244529,01:47:00,2019-01-18
3701165,3625.92,3625.92,3625.92,3625.92,0.055,01:49:00,2019-01-18
3701166,3625.92,3625.92,3625.92,3625.92,0.37120328,01:50:00,2019-01-18
3701168,3624.03,3624.03,3624.03,3624.03,0.39755225,01:52:00,2019-01-18
3701169,3624.99,3625.67,3623.62,3625.67,0.88200506,01:53:00,2019-01-18
3701170,3625.67,3625.67,3623.62,3624.82,0.41130185,01:54:00,2019-01-18
3701171,3624.82,3625.54,3624.82,3625.54,0.14621917,01:55:00,2019-01-18
3701173,3625.54,3625.54,3624.93,3624.93,0.15347035,01:57:00,2019-01-18
3701174,3624.98,3626.7,3624.95,3626.7,6.71471887,01:58:00,2019-01-18
3701175,3626.13,3626.13,3626.13,3626.13,0.05952045,01:59:00,2019-01-18
3701176,3625.91,3628.14,3625.39,3627.77,5.94985066,02:00:00,2019-01-18
3701177,3627.09,3628.58,3627.09,3628.58,1.16510476,02:01:00,2019-01-18
3701178,3626.35,3626.35,3626.35,3626.35,0.06705084,02:02:00,2019-01-18
3701179,3628.31,3628.31,3628.31,3628.31,0.03381464,02:03:00,2019-01-18
3701180,3627.51,3627.51,3627.51,3627.51,0.0522452,02:04:00,2019-01-18
3701183,3627.11,3627.11,3625.47,3627.02,0.48291313,02:07:00,2019-01-18
3701184,3627.11,3627.11,3625.47,3625.47,0.01686485,02:08:00,2019-01-18
3701186,3626.01,3626.01,3626.01,3626.01,0.198,02:10:00,2019-01-18
3701187,3626.01,3626.81,3626.01,3626.81,0.847858,02:11:00,2019-01-18
3701188,3626.81,3626.81,3626.81,3626.81,0.14039202,02:12:00,2019-01-18
3701189,3626.92,3626.92,3626.92,3626.92,0.20800000000000002,02:13:00,2019-01-18
3701190,3626.89,3626.89,3626.89,3626.89,0.21813779,02:14:00,2019-01-18
3701191,3626.92,3627.5,3626.11,3627.5,4.96333351,02:15:00,2019-01-18
3701192,3626.11,3627.09,3626.11,3627.09,4.69653174,02:16:00,2019-01-18
3701193,3627.83,3630.05,3627.83,3630.05,2.245088,02:17:00,2019-01-18
3701194,3628.57,3628.57,3628.57,3628.57,0.13195279999999998,02:18:00,2019-01-18
3701196,3629.34,3629.34,3628.06,3629.23,0.18322213,02:20:00,2019-01-18
3701198,3627.62,3627.62,3627.62,3627.62,0.06414276,02:22:00,2019-01-18
3701202,3629.54,3631.46,3629.54,3631.46,3.11888611,02:26:00,2019-01-18
3701203,3631.54,3632.32,3629.76,3629.76,8.87249241,02:27:00,2019-01-18
3701204,3629.55,3631.44,3628.99,3631.44,5.47055307,02:28:00,2019-01-18
3701205,3631.32,3631.32,3628.69,3628.69,0.69252446,02:29:00,2019-01-18
3701208,3629.46,3631.32,3629.46,3631.32,2.10103788,02:32:00,2019-01-18
3701209,3631.76,3631.76,3631.76,3631.76,0.00688658,02:33:00,2019-01-18
3701210,3629.92,3630.26,3629.92,3630.26,0.0242542,02:34:00,2019-01-18
3701211,3629.54,3629.54,3629.54,3629.54,0.03943236,02:35:00,2019-01-18
3701212,3630.11,3633.11,3630.11,3632.91,17.36681728,02:36:00,2019-01-18
3701213,3632.68,3632.68,3632.51,3632.51,0.11186248,02:37:00,2019-01-18
3701215,3631.15,3631.15,3631.15,3631.15,1.40943135,02:39:00,2019-01-18
3701216,3631.72,3633.86,3631.72,3633.14,8.69365885,02:40:00,2019-01-18
3701218,3631.76,3631.76,3631.76,3631.76,0.30539377,02:42:00,2019-01-18
3701220,3631.84,3631.84,3631.84,3631.84,0.08047577,02:44:00,2019-01-18
3701222,3631.55,3631.66,3631.55,3631.66,0.0283969,02:46:00,2019-01-18
3701223,3631.66,3631.66,3631.66,3631.66,0.3938808,02:47:00,2019-01-18
3701224,3631.88,3631.88,3631.88,3631.88,0.02931079,02:48:00,2019-01-18
3701225,3631.88,3631.88,3631.88,3631.88,0.0553,02:49:00,2019-01-18
3701228,3630.01,3632.82,3629.29,3629.29,5.90302999,02:52:00,2019-01-18
3701231,3627.97,3627.97,3627.97,3627.97,0.01431233,02:55:00,2019-01-18
3701232,3630.05,3630.15,3629.24,3630.15,2.11039921,02:56:00,2019-01-18
3701233,3628.71,3629.12,3628.71,3629.12,0.357925,02:57:00,2019-01-18
3701234,3629.12,3629.12,3629.12,3629.12,0.01715224,02:58:00,2019-01-18
3701235,3628.97,3628.97,3628.97,3628.97,0.35292432,02:59:00,2019-01-18
3701236,3627.65,3627.65,3626.15,3626.15,1.20859862,03:00:00,2019-01-18
3701237,3629.09,3629.09,3629.09,3629.09,0.002,03:01:00,2019-01-18
3701238,3627.58,3627.58,3626.01,3626.01,0.08026289999999998,03:02:00,2019-01-18
