,Open,High,Low,Close,Volume,Time,Date
3755179,4068.0,4068.0,4059.14,4059.74,12.25574785,14:03:00,2019-02-24
3755180,4059.14,4062.39,4018.0,4041.35,34.32845837,14:04:00,2019-02-24
3755181,4022.89,4035.97,4010.0,4022.93,74.43282672,14:05:00,2019-02-24
3755182,4025.85,4031.3,4019.38,4027.74,19.87387533,14:06:00,2019-02-24
3755183,4020.0,4025.67,4020.0,4022.98,6.58331624,14:07:00,2019-02-24
3755184,4026.75,4035.42,4022.44,4032.64,7.58101948,14:08:00,2019-02-24
3755185,4026.81,4029.08,4015.28,4017.12,14.00698436,14:09:00,2019-02-24
3755186,4015.28,4024.89,4005.0,4008.67,55.68259516,14:10:00,2019-02-24
3755187,4005.66,4009.22,3948.37,3948.37,477.82221526,14:11:00,2019-02-24
3755188,3948.19,3956.19,3880.0,3899.97,89.39717163,14:12:00,2019-02-24
3755189,3899.97,3906.19,3869.24,3870.0,200.96250568,14:13:00,2019-02-24
3755190,3870.0,3870.0,3817.4,3827.8,167.03305566,14:14:00,2019-02-24
3755191,3827.8,3827.8,3779.82,3782.0,246.07705629,14:15:00,2019-02-24
3755192,3779.79,3782.0,3720.55,3730.0,157.6384535,14:16:00,2019-02-24
3755193,3725.01,3776.23,3714.42,3765.35,163.62060958,14:17:00,2019-02-24
3755194,3765.84,3847.82,3764.69,3830.47,140.32833184,14:18:00,2019-02-24
3755195,3830.47,3836.43,3804.57,3820.28,80.43339212,14:19:00,2019-02-24
3755196,3818.03,3829.9,3815.35,3826.65,105.03827283,14:20:00,2019-02-24
3755197,3826.5,3837.22,3818.1,3828.12,135.3684379,14:21:00,2019-02-24
3755198,3828.12,3837.94,3819.24,3836.34,56.89999019,14:22:00,2019-02-24
3755199,3836.92,3841.14,3830.62,3835.23,80.3955895,14:23:00,2019-02-24
3755200,3835.23,3840.17,3827.04,3835.92,83.2796809,14:24:00,2019-02-24
3755201,3831.99,3833.13,3815.32,3816.43,65.01435336,14:25:00,2019-02-24
3755202,3815.38,3823.79,3803.24,3803.24,53.22193467,14:26:00,2019-02-24
3755203,3803.01,3803.24,3758.46,3773.08,97.94199614,14:27:00,2019-02-24
3755204,3775.93,3798.08,3767.57,3796.15,68.87222318,14:28:00,2019-02-24
3755205,3798.88,3810.4,3796.15,3802.44,59.37176692,14:29:00,2019-02-24
3755206,3802.43,3814.11,3784.1,3790.97,65.38654742,14:30:00,2019-02-24
3755207,3790.97,3793.36,3780.4,3784.02,40.34047568,14:31:00,2019-02-24
3755208,3785.88,3785.88,3770.0,3770.91,41.32218628,14:32:00,2019-02-24
3755209,3774.99,3776.64,3764.14,3768.84,45.089011600000006,14:33:00,2019-02-24
3755210,3768.43,3784.38,3763.11,3784.16,36.95216203,14:34:00,2019-02-24
3755211,3786.5,3798.4,3781.9,3797.05,45.51029012,14:35:00,2019-02-24
3755212,3795.43,3798.99,3787.17,3788.73,60.71386249,14:36:00,2019-02-24
3755213,3791.37,3801.19,3787.71,3799.63,97.52174212,14:37:00,2019-02-24
3755214,3801.18,3818.34,3795.63,3803.87,54.81644952,14:38:00,2019-02-24
3755215,3806.36,3822.85,3806.26,3816.48,44.31927683,14:39:00,2019-02-24
3755216,3815.57,3830.0,3811.37,3814.68,26.61667155,14:40:00,2019-02-24
3755217,3818.63,3818.63,3808.2,3808.2,18.74955111,14:41:00,2019-02-24
3755218,3808.34,3808.34,3794.85,3798.41,22.67794475,14:42:00,2019-02-24
3755219,3800.38,3815.26,3800.37,3813.41,13.52608006,14:43:00,2019-02-24
3755220,3816.42,3820.31,3815.02,3818.13,15.19407768,14:44:00,2019-02-24
3755221,3818.78,3826.47,3817.98,3818.97,31.57738696,14:45:00,2019-02-24
3755222,3817.52,3825.05,3815.52,3819.23,71.47095009,14:46:00,2019-02-24
3755223,3819.23,3819.42,3811.51,3813.14,21.5630587,14:47:00,2019-02-24
3755224,3812.35,3819.64,3812.35,3819.64,11.14534629,14:48:00,2019-02-24
3755225,3816.04,3820.94,3816.04,3819.22,6.7827409,14:49:00,2019-02-24
3755226,3813.5,3820.05,3809.78,3809.78,10.76309987,14:50:00,2019-02-24
3755227,3809.61,3811.68,3800.6,3803.55,22.64809628,14:51:00,2019-02-24
3755228,3803.54,3812.43,3800.0,3812.43,34.51392326,14:52:00,2019-02-24
3755229,3812.54,3815.0,3800.0,3804.28,28.33156219,14:53:00,2019-02-24
3755230,3804.09,3804.09,3770.0,3794.07,46.78741527,14:54:00,2019-02-24
3755231,3795.34,3795.57,3782.86,3791.85,23.08797287,14:55:00,2019-02-24
3755232,3789.88,3792.41,3770.0,3777.96,21.54323042,14:56:00,2019-02-24
3755233,3779.78,3794.4,3779.61,3794.4,102.26287807,14:57:00,2019-02-24
3755234,3790.64,3794.26,3777.23,3786.3,29.33626437,14:58:00,2019-02-24
3755235,3787.64,3793.03,3783.97,3791.0,30.56360031,14:59:00,2019-02-24
3755236,3791.0,3799.37,3791.0,3796.0,25.81029969,15:00:00,2019-02-24
3755237,3794.89,3796.0,3790.2,3796.0,2.60040814,15:01:00,2019-02-24
3755238,3795.52,3796.0,3793.76,3795.57,3.82193321,15:02:00,2019-02-24
3755239,3795.36,3796.0,3791.25,3796.0,4.22001373,15:03:00,2019-02-24
3755240,3794.09,3801.6,3788.95,3797.09,21.244525699999997,15:04:00,2019-02-24
3755241,3796.68,3796.68,3790.37,3794.32,7.65087857,15:05:00,2019-02-24
3755242,3791.25,3798.42,3784.86,3796.88,7.32522343,15:06:00,2019-02-24
3755243,3796.26,3803.91,3791.57,3800.93,44.25758719,15:07:00,2019-02-24
